"","City..Ville","Latitude..Latitude","Longitude..Longitude"
"359","Metro Van - Burnaby",49.279214,-122.970707
"360","Metro Van - Burnaby",49.279214,-122.970707
"361","Metro Van - Burnaby",49.279214,-122.970707
"362","Metro Van - Burnaby",49.279214,-122.970707
"363","Metro Van - Burnaby",49.279214,-122.970707
"364","Metro Van - Burnaby",49.279214,-122.970707
"365","Metro Van - Burnaby",49.279214,-122.970707
"366","Metro Van - Burnaby",49.279214,-122.970707
"367","Metro Van - Burnaby",49.279214,-122.970707
"368","Metro Van - Burnaby",49.279214,-122.970707
"369","Metro Van - Burnaby",49.279214,-122.970707
"370","Metro Van - Burnaby",49.279214,-122.970707
"371","Metro Van - Burnaby",49.279214,-122.970707
"372","Metro Van - Burnaby",49.279214,-122.970707
"373","Metro Van - Burnaby",49.279214,-122.970707
"374","Metro Van - Burnaby",49.279214,-122.970707
"375","Metro Van - Burnaby",49.279214,-122.970707
"376","Metro Van - Burnaby",49.279214,-122.970707
"377","Metro Van - Burnaby",49.279214,-122.970707
"378","Metro Van - Burnaby",49.279214,-122.970707
"379","Metro Van - Burnaby",49.279214,-122.970707
"380","Metro Van - Burnaby",49.279214,-122.970707
"381","Metro Van - Burnaby",49.279214,-122.970707
"382","Metro Van - Burnaby",49.279214,-122.970707
"383","Metro Van - Burnaby",49.279214,-122.970707
"384","Metro Van - Burnaby",49.279214,-122.970707
"385","Metro Van - Burnaby",49.279214,-122.970707
"386","Metro Van - Burnaby",49.279214,-122.970707
"387","Metro Van - Burnaby",49.279214,-122.970707
"388","Metro Van - Burnaby",49.279214,-122.970707
"389","Metro Van - Burnaby",49.279214,-122.970707
"390","Metro Van - Burnaby",49.279214,-122.970707
"391","Metro Van - Burnaby",49.279214,-122.970707
"392","Metro Van - Burnaby",49.279214,-122.970707
"393","Metro Van - Burnaby",49.279214,-122.970707
"394","Metro Van - Burnaby",49.279214,-122.970707
"395","Metro Van - Burnaby",49.279214,-122.970707
"396","Metro Van - Burnaby",49.279214,-122.970707
"397","Metro Van - Burnaby",49.279214,-122.970707
"398","Metro Van - Burnaby",49.279214,-122.970707
"399","Metro Van - Burnaby",49.279214,-122.970707
"400","Metro Van - Burnaby",49.279214,-122.970707
"401","Metro Van - Burnaby",49.279214,-122.970707
"402","Metro Van - Burnaby",49.279214,-122.970707
"403","Metro Van - Burnaby",49.279214,-122.970707
"404","Metro Van - Burnaby",49.279214,-122.970707
"405","Metro Van - Burnaby",49.279214,-122.970707
"406","Metro Van - Burnaby",49.279214,-122.970707
"407","Metro Van - Burnaby",49.279214,-122.970707
"408","Metro Van - Burnaby",49.279214,-122.970707
"409","Metro Van - Burnaby",49.279214,-122.970707
"410","Metro Van - Burnaby",49.279214,-122.970707
"411","Metro Van - Burnaby",49.279214,-122.970707
"412","Metro Van - Burnaby",49.279214,-122.970707
"413","Metro Van - Burnaby",49.279214,-122.970707
"414","Metro Van - Burnaby",49.279214,-122.970707
"415","Metro Van - Burnaby",49.279214,-122.970707
"416","Metro Van - Burnaby",49.279214,-122.970707
"417","Metro Van - Burnaby",49.279214,-122.970707
"418","Metro Van - Burnaby",49.279214,-122.970707
"419","Metro Van - Burnaby",49.279214,-122.970707
"420","Metro Van - Burnaby",49.279214,-122.970707
"421","Metro Van - Burnaby",49.279214,-122.970707
"422","Metro Van - Burnaby",49.279214,-122.970707
"423","Metro Van - Burnaby",49.279214,-122.970707
"424","Metro Van - Burnaby",49.279214,-122.970707
"425","Metro Van - Burnaby",49.279214,-122.970707
"426","Metro Van - Burnaby",49.279214,-122.970707
"427","Metro Van - Burnaby",49.279214,-122.970707
"428","Metro Van - Burnaby",49.279214,-122.970707
"429","Metro Van - Burnaby",49.279214,-122.970707
"430","Metro Van - Burnaby",49.279214,-122.970707
"431","Metro Van - Burnaby",49.279214,-122.970707
"432","Metro Van - Burnaby",49.279214,-122.970707
"433","Metro Van - Burnaby",49.279214,-122.970707
"434","Metro Van - Burnaby",49.279214,-122.970707
"435","Metro Van - Burnaby",49.279214,-122.970707
"436","Metro Van - Burnaby",49.279214,-122.970707
"437","Metro Van - Burnaby",49.279214,-122.970707
"438","Metro Van - Burnaby",49.279214,-122.970707
"439","Metro Van - Burnaby",49.279214,-122.970707
"440","Metro Van - Burnaby",49.279214,-122.970707
"441","Metro Van - Burnaby",49.279214,-122.970707
"442","Metro Van - Burnaby",49.279214,-122.970707
"443","Metro Van - Burnaby",49.279214,-122.970707
"444","Metro Van - Burnaby",49.279214,-122.970707
"445","Metro Van - Burnaby",49.279214,-122.970707
"446","Metro Van - Burnaby",49.279214,-122.970707
"447","Metro Van - Burnaby",49.279214,-122.970707
"448","Metro Van - Burnaby",49.279214,-122.970707
"449","Metro Van - Burnaby",49.279214,-122.970707
"450","Metro Van - Burnaby",49.279214,-122.970707
"451","Metro Van - Burnaby",49.279214,-122.970707
"452","Metro Van - Burnaby",49.279214,-122.970707
"453","Metro Van - Burnaby",49.279214,-122.970707
"454","Metro Van - Burnaby",49.279214,-122.970707
"455","Metro Van - Burnaby",49.279214,-122.970707
"456","Metro Van - Burnaby",49.279214,-122.970707
"457","Metro Van - Burnaby",49.279214,-122.970707
"458","Metro Van - Burnaby",49.279214,-122.970707
"459","Metro Van - Burnaby",49.279214,-122.970707
"460","Metro Van - Burnaby",49.279214,-122.970707
"461","Metro Van - Burnaby",49.279214,-122.970707
"462","Metro Van - Burnaby",49.279214,-122.970707
"463","Metro Van - Burnaby",49.279214,-122.970707
"464","Metro Van - Burnaby",49.279214,-122.970707
"465","Metro Van - Burnaby",49.279214,-122.970707
"466","Metro Van - Burnaby",49.279214,-122.970707
"467","Metro Van - Burnaby",49.279214,-122.970707
"468","Metro Van - Burnaby",49.279214,-122.970707
"469","Metro Van - Burnaby",49.279214,-122.970707
"470","Metro Van - Burnaby",49.279214,-122.970707
"471","Metro Van - Burnaby",49.279214,-122.970707
"472","Metro Van - Burnaby",49.279214,-122.970707
"473","Metro Van - Burnaby",49.279214,-122.970707
"474","Metro Van - Burnaby",49.279214,-122.970707
"475","Metro Van - Burnaby",49.279214,-122.970707
"476","Metro Van - Burnaby",49.279214,-122.970707
"477","Metro Van - Burnaby",49.279214,-122.970707
"478","Metro Van - Burnaby",49.279214,-122.970707
"479","Metro Van - Burnaby",49.279214,-122.970707
"480","Metro Van - Burnaby",49.279214,-122.970707
"481","Metro Van - Burnaby",49.279214,-122.970707
"482","Metro Van - Burnaby",49.279214,-122.970707
"483","Metro Van - Burnaby",49.279214,-122.970707
"484","Metro Van - Burnaby",49.279214,-122.970707
"485","Metro Van - Burnaby",49.279214,-122.970707
"486","Metro Van - Burnaby",49.279214,-122.970707
"487","Metro Van - Burnaby",49.279214,-122.970707
"488","Metro Van - Burnaby",49.279214,-122.970707
"489","Metro Van - Burnaby",49.279214,-122.970707
"490","Metro Van - Burnaby",49.279214,-122.970707
"491","Metro Van - Burnaby",49.279214,-122.970707
"492","Metro Van - Burnaby",49.279214,-122.970707
"493","Metro Van - Burnaby",49.279214,-122.970707
"494","Metro Van - Burnaby",49.279214,-122.970707
"495","Metro Van - Burnaby",49.279214,-122.970707
"496","Metro Van - Burnaby",49.279214,-122.970707
"497","Metro Van - Burnaby",49.279214,-122.970707
"498","Metro Van - Burnaby",49.279214,-122.970707
"499","Metro Van - Burnaby",49.279214,-122.970707
"500","Metro Van - Burnaby",49.279214,-122.970707
"501","Metro Van - Burnaby",49.279214,-122.970707
"502","Metro Van - Burnaby",49.279214,-122.970707
"503","Metro Van - Burnaby",49.279214,-122.970707
"504","Metro Van - Burnaby",49.279214,-122.970707
"505","Metro Van - Burnaby",49.279214,-122.970707
"506","Metro Van - Burnaby",49.279214,-122.970707
"507","Metro Van - Burnaby",49.279214,-122.970707
"508","Metro Van - Burnaby",49.279214,-122.970707
"509","Metro Van - Burnaby",49.279214,-122.970707
"510","Metro Van - Burnaby",49.279214,-122.970707
"511","Metro Van - Burnaby",49.279214,-122.970707
"512","Metro Van - Burnaby",49.279214,-122.970707
"513","Metro Van - Burnaby",49.279214,-122.970707
"514","Metro Van - Burnaby",49.279214,-122.970707
"515","Metro Van - Burnaby",49.279214,-122.970707
"516","Metro Van - Burnaby",49.279214,-122.970707
"517","Metro Van - Burnaby",49.279214,-122.970707
"518","Metro Van - Burnaby",49.279214,-122.970707
"519","Metro Van - Burnaby",49.279214,-122.970707
"520","Metro Van - Burnaby",49.279214,-122.970707
"521","Metro Van - Burnaby",49.279214,-122.970707
"522","Metro Van - Burnaby",49.279214,-122.970707
"523","Metro Van - Burnaby",49.279214,-122.970707
"524","Metro Van - Burnaby",49.279214,-122.970707
"525","Metro Van - Burnaby",49.279214,-122.970707
"526","Metro Van - Burnaby",49.279214,-122.970707
"527","Metro Van - Burnaby",49.279214,-122.970707
"528","Metro Van - Burnaby",49.279214,-122.970707
"529","Metro Van - Burnaby",49.279214,-122.970707
"530","Metro Van - Burnaby",49.279214,-122.970707
"531","Metro Van - Burnaby",49.279214,-122.970707
